,commit-hash,BleuScore
0,b7e0473d6cb9155e6b54c5e0ba10a9a3544dd2af,8.588198359462805e-232
1,b7e0473d6cb9155e6b54c5e0ba10a9a3544dd2af,1.0701348365097317e-231
2,b7e0473d6cb9155e6b54c5e0ba10a9a3544dd2af,8.937617821489338e-232
3,0c4c6c47536a853cf1ac0bb3ff69261a380173e3,1.1694993466360983e-231
4,0c4c6c47536a853cf1ac0bb3ff69261a380173e3,1.1505875341952789e-231
5,45ce446017f355981de72dbcd10feb32e1aaf711,8.510469113101058e-232
6,c29981c6330531c4bea19dad9b83038e2cfd3df4,9.147905122468955e-232
7,67d6426360930b77158cb1fd544e1f1bd4af83c3,9.72161026064145e-232
8,c5b1aaaa28022bb4160b94b0a214e1b8e39059bd,9.219149605677847e-232
9,c5b1aaaa28022bb4160b94b0a214e1b8e39059bd,7.934090036767069e-232
10,bca36f0464184b9c2f596773da36cef44da31f6f,8.71209747972307e-232
11,bca36f0464184b9c2f596773da36cef44da31f6f,8.972141065609098e-232
12,4613d947a8f1c11b7232e2184e9c81d315a38995,9.594503055152632e-232
13,4613d947a8f1c11b7232e2184e9c81d315a38995,9.594503055152632e-232
14,50196be0f2142d880048580a96e419f3c4a66120,3.700592241674297e-155
15,50196be0f2142d880048580a96e419f3c4a66120,3.4103734949033603e-155
16,681b652bf91ed35ee8c9a2f0b384c2ec47ff2f7c,3.721922186800232e-155
17,57fc606f6b4562b4f433b2f884d28ec2665a3b1b,8.473616164690714e-156
18,0572158ba1dd26d58e148e694dba5c3aaac9532e,1.1640469867513693e-231
19,923a8b71bd68c56b2dc1c39e26b9605fe16be495,2.671961170107083e-155
20,923a8b71bd68c56b2dc1c39e26b9605fe16be495,3.766504051544675e-155
21,52e46beddaa9dccadb85378c76eaaece1e399a7e,3.280006551333948e-155
22,52e46beddaa9dccadb85378c76eaaece1e399a7e,3.3825720370848893e-155
23,c7657e3c4b51d86be9d62c2b9d05f5371a2b02fc,3.0136596135010997e-155
24,c7657e3c4b51d86be9d62c2b9d05f5371a2b02fc,3.6610226214697654e-155
25,c7657e3c4b51d86be9d62c2b9d05f5371a2b02fc,3.872493044889454e-155
26,c7657e3c4b51d86be9d62c2b9d05f5371a2b02fc,3.4364903400006326e-155
27,c7657e3c4b51d86be9d62c2b9d05f5371a2b02fc,4.010740433502895e-155
28,c7657e3c4b51d86be9d62c2b9d05f5371a2b02fc,3.07711513169834e-155
29,4e58a3849a120ab6cb3966d9656ce65cf7d0aefc,3.4103734949033603e-155
30,c01dd8d64aaeece2496eb27fe5c907f9e950dfac,1.1088946534873117e-231
31,c01dd8d64aaeece2496eb27fe5c907f9e950dfac,1.0618063059647207e-231
32,68640a81b377163abd8b581f77589705a05481ba,8.759211433452952e-232
33,68640a81b377163abd8b581f77589705a05481ba,2.744892298225602e-155
34,4660da949fa5834540abde37fabfbb7fed210dbe,9.336117803135294e-232
35,4660da949fa5834540abde37fabfbb7fed210dbe,4.470095426213435e-155
36,bf03937f064524b523eef4b9aff66b167e58043d,1.6034904487610273e-78
37,548bef7dffb5d830b9695c7cebadadef1f3dfc1e,1.0832677820940877e-231
38,d87b2aa0e5667f3ac240eb3a9a2f9dc3626abb0e,4.178551022110489e-155
39,a93d57b58bf060dad8fa9f762c3e7a9be20869e0,4.241303569364337e-155
40,a93d57b58bf060dad8fa9f762c3e7a9be20869e0,3.797764026717455e-155
41,a93d57b58bf060dad8fa9f762c3e7a9be20869e0,1.1008876702055895e-231
42,a93d57b58bf060dad8fa9f762c3e7a9be20869e0,4.177908019702813e-155
43,8e6c765be22803f1705f9a6c053a0728adeaf820,3.760784211123234e-155
44,8e6c765be22803f1705f9a6c053a0728adeaf820,9.50440384721771e-232
45,e09b74021c9c955fd7c3bab11f22801aaf9dc1b8,1.1701899281868481e-231
46,e09b74021c9c955fd7c3bab11f22801aaf9dc1b8,3.591703461242313e-155
47,87c59ae561a6a7c1e0e64befbb1c4420df8561d1,3.0277961716896256e-155
48,383dba524a6e1b4e622470479e6d007d5707909c,3.5131878770278888e-155
49,941c0a8c3c3bb8dbe0b18cf07b6599b9ca13a6e4,6.957990942521506e-232
