,Commit_id,Statements,Misses,Coverage
0,b7e0473d6cb9155e6b54c5e0ba10a9a3544dd2af,50,24,52
1,b7e0473d6cb9155e6b54c5e0ba10a9a3544dd2af,59,31,47
2,0c4c6c47536a853cf1ac0bb3ff69261a380173e3,9,7,22
3,0c4c6c47536a853cf1ac0bb3ff69261a380173e3,16,13,19
4,45ce446017f355981de72dbcd10feb32e1aaf711,0,0,100
5,c29981c6330531c4bea19dad9b83038e2cfd3df4,13,2,85
6,67d6426360930b77158cb1fd544e1f1bd4af83c3,12,7,42
7,c5b1aaaa28022bb4160b94b0a214e1b8e39059bd,10,8,20
8,c5b1aaaa28022bb4160b94b0a214e1b8e39059bd,40,19,52
9,bca36f0464184b9c2f596773da36cef44da31f6f,0,0,100
10,4613d947a8f1c11b7232e2184e9c81d315a38995,8,7,12
11,50196be0f2142d880048580a96e419f3c4a66120,21,13,38
12,681b652bf91ed35ee8c9a2f0b384c2ec47ff2f7c,10,9,10
13,923a8b71bd68c56b2dc1c39e26b9605fe16be495,0,0,100
14,923a8b71bd68c56b2dc1c39e26b9605fe16be495,10,7,30
15,52e46beddaa9dccadb85378c76eaaece1e399a7e,6,4,33
16,52e46beddaa9dccadb85378c76eaaece1e399a7e,6,4,33
17,c7657e3c4b51d86be9d62c2b9d05f5371a2b02fc,34,21,38
18,c7657e3c4b51d86be9d62c2b9d05f5371a2b02fc,52,34,35
19,c01dd8d64aaeece2496eb27fe5c907f9e950dfac,13,8,38
20,68640a81b377163abd8b581f77589705a05481ba,11,8,27
21,4660da949fa5834540abde37fabfbb7fed210dbe,155,126,19
22,bf03937f064524b523eef4b9aff66b167e58043d,9,8,11
23,548bef7dffb5d830b9695c7cebadadef1f3dfc1e,2,0,100
24,d87b2aa0e5667f3ac240eb3a9a2f9dc3626abb0e,6,4,33
25,a93d57b58bf060dad8fa9f762c3e7a9be20869e0,20,16,20
26,8e6c765be22803f1705f9a6c053a0728adeaf820,13,8,38
27,8e6c765be22803f1705f9a6c053a0728adeaf820,20,13,35
28,e09b74021c9c955fd7c3bab11f22801aaf9dc1b8,11,6,45
29,e09b74021c9c955fd7c3bab11f22801aaf9dc1b8,17,10,41
30,87c59ae561a6a7c1e0e64befbb1c4420df8561d1,17,10,41
31,383dba524a6e1b4e622470479e6d007d5707909c,6,5,17
32,941c0a8c3c3bb8dbe0b18cf07b6599b9ca13a6e4,4,3,25
33,3d079942f4f4e38a32a613d8512803800f2fcca3,7,2,71
34,bdea7be456240d25acdc37c25c99083efe7f7c33,0,0,100
35,f02169ea715763fd8df6386e15f5e5f402bab751,0,0,100
36,15e62ad26d3eed587b2e2889421170eab5ab01ef,26,19,27
37,a3352af1d447bd6ab6abe8ec6130fbe64dacba84,20,13,35
38,a3352af1d447bd6ab6abe8ec6130fbe64dacba84,23,15,35
39,05db75bdb10a0734846eafbcbac6441a66fd4262,0,0,100
40,05db75bdb10a0734846eafbcbac6441a66fd4262,29,24,17
41,05db75bdb10a0734846eafbcbac6441a66fd4262,29,24,17
42,d9eca19b8f1e3c357bfc05691eb1d50eece53958,6,5,17
43,10357109565fd5674fad1fe00defb7f31df51ca3,0,0,100
44,5084f18568ae58fe212d99546bfda8023073ac82,19,15,21
45,04819577154fc1b11fc20ae7ac584d67614eca25,8,6,25
46,a2b12f75ea6fb010dac6fbf6e5e539ad0e69a2f4,0,0,100
47,b2ec4f797fabd95a87f0e966e6dc5a4f74751f36,0,0,100
48,6e7e2f2eeaf5d07060303735d8f183e526447f25,0,0,100
49,01ca7f0eb28790a594ce94b337caf6f776078215,16,10,38
50,2a25d71aa4929ef9cb0d5d993ec9f25160d25d65,16,13,19
51,dc4da527db3bbc3c9907ee0f72f5f48d3d4b4e2a,7,5,29
52,bb49a1f979a66c647bbe676bdb0cc8163bd87c7e,13,12,8
53,bb49a1f979a66c647bbe676bdb0cc8163bd87c7e,13,12,8
54,bb49a1f979a66c647bbe676bdb0cc8163bd87c7e,23,19,17
55,6e1dbadff94c2ed168119cd17df37d7ec9cb8d05,5,3,40
56,1124d68946f6e4109798dfdc07ec7c9e37df4442,6,4,33
57,49a0fb6e0fb4fa130db9c5a2c4d3b27a6579cc75,21,16,24
58,48a6d234cb2accf501da109cce7898a1e4cc340c,0,0,100
59,9b23a4ac9a08e3f63677b328b3838816b08d8459,1527,1010,34
60,0001297f416447b7c45468b42a34e6b0d067d883,9,6,33
61,264d45cdf5804d8ce65f49ff006a86c5705d0251,25,13,48
62,355befcbfc11f96304d905f0dccb41930d384cd7,7,5,29
63,a61f9e1114e2ffd2be50f3f7c3a03e40d57c10ed,0,0,100
64,8374a9ed8392af0281ce818eca40af8e39e69a0b,20,15,25
65,2d55c01c7ecae1fcf84b61ac502f947dd3d7e280,670,336,50
